transaction_amount,customer_age_days,number_previous_transactions,previous_success_count,previous_failure_count,historical_success_rate,payment_method,failure_reason,attempt_number,hours_since_failure,hour_of_day,day_of_week,customer_value_segment,previous_recovery_count,subscription_status,recovered
910.67,301,12,9,3,0.75,upi,insufficient_funds,3,63.54,14,6,STANDARD,0,none,0
3469.9,1283,9,7,2,0.7778,netbanking,network_error,1,50.39,13,4,STANDARD,2,none,1
2588.91,901,13,9,4,0.6923,upi,temporary_failure,1,44.35,3,0,STANDARD,1,none,0
9428.07,1355,11,7,4,0.6364,upi,network_error,2,102.65,14,2,STANDARD,0,none,0
15105.96,1343,9,7,2,0.7778,card,network_error,3,9.77,13,3,STANDARD,0,none,0
9804.23,675,8,7,1,0.875,netbanking,bank_timeout,2,29.07,19,0,ENTERPRISE,1,active,1
3154.28,1047,11,8,3,0.7273,upi,fraud_suspected,2,21.34,1,4,STANDARD,0,none,1
7540.18,1475,7,7,0,1.0,upi,insufficient_funds,1,59.31,17,1,STANDARD,2,none,0
2748.39,173,9,5,4,0.5556,upi,fraud_suspected,1,99.4,17,4,STANDARD,1,none,0
1901.54,46,10,8,2,0.8,card,insufficient_funds,3,34.07,2,2,PREMIUM,2,active,0
1968.54,1348,8,3,5,0.375,wallet,insufficient_funds,1,47.61,6,4,STANDARD,0,none,0
9449.43,1651,9,6,3,0.6667,card,bank_decline,2,32.17,8,2,PREMIUM,0,active,0
16077.3,219,7,7,0,1.0,card,network_error,2,56.85,23,1,STANDARD,2,none,1
3492.68,1422,10,8,2,0.8,netbanking,bank_decline,2,15.49,0,5,ENTERPRISE,3,active,1
6671.97,1579,15,10,5,0.6667,card,temporary_failure,1,55.23,3,0,PREMIUM,0,active,1
2327.95,1385,6,4,2,0.6667,upi,bank_decline,2,61.09,6,4,STANDARD,2,none,1
7816.72,275,9,7,2,0.7778,upi,insufficient_funds,2,38.47,0,6,PREMIUM,1,active,1
1034.38,83,13,9,4,0.6923,card,bank_decline,3,20.31,7,3,PREMIUM,2,active,0
10013.02,442,6,6,0,1.0,upi,fraud_suspected,3,46.99,12,1,STANDARD,2,none,0
10517.28,1488,8,7,1,0.875,upi,bank_decline,2,22.09,15,2,STANDARD,1,none,1
2281.34,604,9,7,2,0.7778,upi,network_error,2,88.59,17,0,STANDARD,1,none,1
12016.51,1160,8,6,2,0.75,upi,fraud_suspected,3,51.23,19,4,PREMIUM,1,active,0
319.58,41,12,11,1,0.9167,card,temporary_failure,3,16.14,5,3,STANDARD,0,none,0
2955.06,1514,6,6,0,1.0,netbanking,bank_timeout,2,11.27,7,0,PREMIUM,1,active,1
8185.1,1554,12,8,4,0.6667,card,temporary_failure,2,21.39,13,6,PREMIUM,0,active,0
3504.75,1201,4,2,2,0.5,upi,insufficient_funds,2,31.85,16,5,STANDARD,2,none,1
932.93,1755,10,9,1,0.9,card,insufficient_funds,2,2.48,3,0,STANDARD,1,none,1
4453.56,1645,9,9,0,1.0,card,bank_decline,3,80.78,22,6,STANDARD,3,none,1
1971.79,443,12,9,3,0.75,netbanking,temporary_failure,2,51.47,18,3,STANDARD,1,none,1
11466.2,479,5,5,0,1.0,card,fraud_suspected,1,49.27,5,1,STANDARD,0,none,0
915.38,1534,11,10,1,0.9091,card,network_error,1,78.63,13,2,STANDARD,0,none,1
3764.41,397,6,5,1,0.8333,card,insufficient_funds,3,28.39,4,6,STANDARD,1,none,1
1101.19,1132,7,5,2,0.7143,card,invalid_account,1,29.2,6,1,STANDARD,2,none,0
4129.4,523,4,3,1,0.75,netbanking,insufficient_funds,1,46.51,13,4,STANDARD,1,none,0
1539.7,1431,3,2,1,0.6667,upi,network_error,3,81.35,17,4,PREMIUM,4,active,0
3379.25,865,9,7,2,0.7778,card,bank_timeout,3,28.5,14,1,STANDARD,0,none,1
2411.04,68,7,5,2,0.7143,card,network_error,1,29.5,4,0,STANDARD,2,none,0
2430.21,1480,6,4,2,0.6667,card,temporary_failure,3,15.65,8,5,STANDARD,0,none,1
4249.36,173,11,11,0,1.0,card,network_error,1,25.91,2,6,PREMIUM,1,active,1
7011.42,1305,8,7,1,0.875,upi,bank_decline,1,27.77,11,5,STANDARD,1,none,1
4248.68,243,12,6,6,0.5,wallet,temporary_failure,2,42.04,20,0,STANDARD,0,none,0
3413.31,1658,15,12,3,0.8,wallet,bank_decline,2,85.73,0,6,STANDARD,0,none,0
10243.54,1296,7,6,1,0.8571,netbanking,insufficient_funds,1,24.21,20,2,ENTERPRISE,1,active,0
1926.51,202,12,10,2,0.8333,netbanking,bank_decline,3,55.56,0,5,STANDARD,0,none,0
6067.85,859,13,11,2,0.8462,netbanking,bank_timeout,2,25.81,0,0,STANDARD,1,none,0
2952.69,707,7,6,1,0.8571,upi,insufficient_funds,3,86.3,3,5,STANDARD,3,none,0
23381.86,1548,9,6,3,0.6667,upi,invalid_account,1,24.05,16,4,STANDARD,2,none,1
1964.63,1553,14,12,2,0.8571,upi,bank_timeout,1,21.32,16,4,STANDARD,2,none,1
1650.02,730,7,5,2,0.7143,upi,bank_decline,3,26.42,9,5,STANDARD,1,none,1
3485.64,1711,9,8,1,0.8889,card,bank_decline,2,70.4,7,3,STANDARD,0,none,0
3177.04,362,8,8,0,1.0,upi,insufficient_funds,1,34.64,8,4,PREMIUM,2,active,1
4422.8,390,5,3,2,0.6,upi,insufficient_funds,1,90.4,17,0,STANDARD,1,none,1
3870.51,1224,7,5,2,0.7143,netbanking,temporary_failure,2,4.15,3,6,PREMIUM,0,active,1
